Time,Datapoint
2013-08-28 0:3:49,88.2353,0
2013-08-28 0:3:50,85.7143,0
2013-08-28 0:3:50,83.3333,0
2013-08-28 0:3:51,77.9221,0
2013-08-28 0:3:52,73.1707,0
2013-08-28 0:3:53,75,0
2013-08-28 0:3:54,77.9221,0
2013-08-28 0:3:54,78.9474,0
2013-08-28 0:3:55,81.0811,0
2013-08-28 0:3:56,78.9474,0
2013-08-28 0:3:57,78.9474,0
2013-08-28 0:3:57,78.9474,0
2013-08-28 0:3:58,77.9221,0
2013-08-28 0:3:59,75,0
2013-08-28 0:4:0,75,0
2013-08-28 0:4:0,75.9494,0
2013-08-28 0:4:1,74.0741,0
2013-08-28 0:4:2,75.9494,0
2013-08-28 0:4:3,74.0741,0
2013-08-28 0:4:4,75,0
2013-08-28 0:4:4,75,0
2013-08-28 0:4:5,75.9494,0
2013-08-28 0:4:6,75.9494,0
2013-08-28 0:4:7,75.9494,0
2013-08-28 0:4:8,78.9474,0
2013-08-28 0:4:8,83.3333,0
2013-08-28 0:4:9,83.3333,0
2013-08-28 0:4:10,82.1918,0
2013-08-28 0:4:11,85.7143,0
2013-08-28 0:4:11,82.1918,0
2013-08-28 0:4:12,78.9474,0
2013-08-28 0:4:13,76.9231,0
2013-08-28 0:4:14,75,0
2013-08-28 0:4:14,76.9231,0
2013-08-28 0:4:15,75.9494,0
2013-08-28 0:4:16,76.9231,0
2013-08-28 0:4:17,76.9231,0
2013-08-28 0:4:17,76.9231,0
2013-08-28 0:4:18,75.9494,0
2013-08-28 0:4:19,76.9231,0
2013-08-28 0:4:20,75.9494,0
2013-08-28 0:4:21,74.0741,0
2013-08-28 0:4:21,73.1707,0
2013-08-28 0:4:22,75,0
2013-08-28 0:4:23,75,0
2013-08-28 0:4:24,75,0
2013-08-28 0:4:25,75.9494,0
2013-08-28 0:4:25,77.9221,0
2013-08-28 0:4:26,80,0
2013-08-28 0:4:27,80,0
2013-08-28 0:4:28,75.9494,0
2013-08-28 0:4:28,72.2892,0
2013-08-28 0:4:29,69.7674,0
2013-08-28 0:4:30,75.9494,0
2013-08-28 0:4:31,81.0811,0
2013-08-28 0:4:32,82.1918,0
2013-08-28 0:4:32,82.1918,0
2013-08-28 0:4:33,86.9565,0
2013-08-28 0:4:34,85.7143,0
2013-08-28 0:4:35,75.9494,0
2013-08-28 0:4:35,74.0741,0
2013-08-28 0:4:36,69.7674,0
2013-08-28 0:4:39,68.9655,1
2013-08-28 0:4:40,75.9494,0
2013-08-28 0:4:40,78.9474,0
2013-08-28 0:4:41,80,0
2013-08-28 0:4:42,78.9474,0
2013-08-28 0:4:43,76.9231,0
2013-08-28 0:4:44,71.4286,0
2013-08-28 0:4:44,72.2892,0
2013-08-28 0:4:45,74.0741,0
2013-08-28 0:4:46,75.9494,0
2013-08-28 0:4:47,76.9231,0
2013-08-28 0:4:48,74.0741,0
2013-08-28 0:4:48,72.2892,0
2013-08-28 0:4:49,69.7674,0
2013-08-28 0:4:50,66.6667,0
2013-08-28 0:4:51,69.7674,0
2013-08-28 0:4:52,73.1707,0
2013-08-28 0:4:53,75.9494,0
2013-08-28 0:4:53,77.9221,0
2013-08-28 0:4:54,75.9494,0
2013-08-28 0:4:55,72.2892,0
2013-08-28 0:4:56,68.9655,0
2013-08-28 0:4:57,69.7674,0
2013-08-28 0:4:58,72.2892,0
2013-08-28 0:4:58,71.4286,0
2013-08-28 0:4:59,72.2892,0
2013-08-28 0:5:0,74.0741,0
2013-08-28 0:5:1,70.5882,0
2013-08-28 0:5:2,67.4157,0
2013-08-28 0:5:3,66.6667,0
2013-08-28 0:5:4,65.9341,0
2013-08-28 0:5:4,69.7674,0
2013-08-28 0:5:5,74.0741,0
2013-08-28 0:5:6,71.4286,0
2013-08-28 0:5:7,70.5882,0
2013-08-28 0:5:8,69.7674,0
2013-08-28 0:5:9,68.9655,0
2013-08-28 0:5:10,67.4157,0
2013-08-28 0:5:10,71.4286,0
2013-08-28 0:5:11,74.0741,0
2013-08-28 0:5:12,75,0
2013-08-28 0:5:13,75.9494,0
2013-08-28 0:5:14,73.1707,0
2013-08-28 0:5:14,75,0
2013-08-28 0:5:15,75,0
2013-08-28 0:5:16,80,0
2013-08-28 0:5:17,81.0811,0
2013-08-28 0:5:18,83.3333,0
2013-08-28 0:5:18,85.7143,0
2013-08-28 0:5:19,86.9565,0
2013-08-28 0:5:20,86.9565,0
2013-08-28 0:5:20,85.7143,0
2013-08-28 0:5:21,80,0
2013-08-28 0:5:22,72.2892,0
2013-08-28 0:5:23,68.9655,0
2013-08-28 0:5:24,71.4286,0
2013-08-28 0:5:24,73.1707,0
2013-08-28 0:5:25,75,0
2013-08-28 0:5:26,74.0741,0
2013-08-28 0:5:27,73.1707,0
2013-08-28 0:5:28,70.5882,0
2013-08-28 0:5:28,69.7674,0
2013-08-28 0:5:29,72.2892,0
2013-08-28 0:5:30,74.0741,0
2013-08-28 0:5:31,74.0741,0
2013-08-28 0:5:32,70.5882,0
2013-08-28 0:5:33,65.2174,0
2013-08-28 0:5:34,63.1579,0
2013-08-28 0:5:34,65.9341,0
2013-08-28 0:5:35,71.4286,0
2013-08-28 0:5:36,73.1707,0
2013-08-28 0:5:37,72.2892,0
2013-08-28 0:5:38,70.5882,0
2013-08-28 0:5:39,68.1818,0
2013-08-28 0:5:40,67.4157,0
2013-08-28 0:5:41,72.2892,0
2013-08-28 0:5:41,73.1707,0
2013-08-28 0:5:42,71.4286,0
2013-08-28 0:5:43,67.4157,0
2013-08-28 0:5:44,65.2174,0
2013-08-28 0:5:45,67.4157,0
2013-08-28 0:5:46,65.9341,0
2013-08-28 0:5:47,67.4157,0
2013-08-28 0:5:48,68.9655,0
2013-08-28 0:5:48,68.9655,0
2013-08-28 0:5:49,67.4157,0
2013-08-28 0:5:50,70.5882,0
2013-08-28 0:5:51,72.2892,0
2013-08-28 0:5:52,78.9474,0
2013-08-28 0:5:53,80,0
2013-08-28 0:5:53,77.9221,0
2013-08-28 0:5:54,70.5882,0
2013-08-28 0:5:55,69.7674,0
2013-08-28 0:5:56,73.1707,0
2013-08-28 0:5:57,75,0
2013-08-28 0:5:57,75.9494,0
2013-08-28 0:5:58,75,0
2013-08-28 0:5:59,70.5882,0
2013-08-28 0:6:0,71.4286,0
2013-08-28 0:6:1,70.5882,0
2013-08-28 0:6:2,68.9655,0
2013-08-28 0:6:2,68.9655,0
2013-08-28 0:6:3,68.1818,0
2013-08-28 0:6:4,71.4286,0
2013-08-28 0:6:5,71.4286,0
2013-08-28 0:6:6,73.1707,0
2013-08-28 0:6:7,72.2892,0
2013-08-28 0:6:8,73.1707,0
2013-08-28 0:6:8,75.9494,0
2013-08-28 0:6:9,80,0
2013-08-28 0:6:10,83.3333,0
2013-08-28 0:6:11,82.1918,0
2013-08-28 0:6:11,78.9474,0
2013-08-28 0:6:13,66.6667,1
2013-08-28 0:6:14,70.5882,0
2013-08-28 0:6:15,73.1707,0
2013-08-28 0:6:16,75,0
2013-08-28 0:6:16,74.0741,0
2013-08-28 0:6:17,75,0
2013-08-28 0:6:18,76.9231,0
2013-08-28 0:6:19,76.9231,0
2013-08-28 0:6:20,76.9231,0
2013-08-28 0:6:20,75,0
2013-08-28 0:6:21,75.9494,0
2013-08-28 0:6:22,72.2892,0
2013-08-28 0:6:23,70.5882,0
2013-08-28 0:6:24,70.5882,0
2013-08-28 0:6:24,72.2892,0
2013-08-28 0:6:25,73.1707,0
2013-08-28 0:6:26,74.0741,0
2013-08-28 0:6:27,76.9231,0
2013-08-28 0:6:28,80,0
2013-08-28 0:6:28,80,0
2013-08-28 0:6:29,78.9474,0
2013-08-28 0:6:30,78.9474,0
2013-08-28 0:6:31,76.9231,0
2013-08-28 0:6:31,75,0
2013-08-28 0:6:32,75,0
2013-08-28 0:6:33,75,0
2013-08-28 0:6:34,75.9494,0
2013-08-28 0:6:35,75.9494,0
2013-08-28 0:6:35,75,0
2013-08-28 0:6:36,80,0
2013-08-28 0:6:37,80,0
2013-08-28 0:6:38,80,0
2013-08-28 0:6:38,76.9231,0
2013-08-28 0:6:39,75,0
2013-08-28 0:6:40,75,0
2013-08-28 0:6:41,74.0741,0
2013-08-28 0:6:42,72.2892,0
2013-08-28 0:6:43,70.5882,0
2013-08-28 0:6:43,68.1818,0
2013-08-28 0:6:44,68.9655,0
2013-08-28 0:6:45,70.5882,0
2013-08-28 0:6:46,70.5882,0
2013-08-28 0:6:47,64.5161,0
